# We gratefully acknowledge the following Authors from the Originating laboratories responsible for obtaining the specimens, as well as the Submitting laboratories where the genome data were generated and shared via GISAID, on which this research is based.
# All Submitters of data may be contacted directly via www.gisaid.org
Accession ID	Virus Name	Location	Collection Date	Originating Laboratory	Submitting Laboratory	Authors
EPI_ISL_418504	hCoV-19/Hangzhou/HZ79/2020	Asia / China / Hangzhou	1/21/20	Hangzhou Center for Disease Control and Prevention	Inspection Center of Hangzhou Center for Disease Control and Prevention	Yu hua, Wang haoqiu, Li jun, Yu xinfeng, Pan jingcao
EPI_ISL_419835	hCoV-19/Australia/NT05/2020	Oceania / Australia / Northern Territory	2/24/20	Royal Darwin Hospital	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Meumann, E., Seemann T., Sait, M., Schultz M., Caly L., Druce J.
EPI_ISL_417222	hCoV-19/England/20104003002/2020	Europe / United Kingdom / England	3/4/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano, Shahjahan Miah, Angie Lackenby, Omolola Akinbami, Tiina Talts, Leena Bhaw, Richard Myers, Steven Platt, Kirstin Edwards, Jonathan Hubb, Joanna Ellis, Maria Zambon
EPI_ISL_417226	hCoV-19/England/20104004902/2020	Europe / United Kingdom / England	3/2/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano, Shahjahan Miah, Angie Lackenby, Omolola Akinbami, Tiina Talts, Leena Bhaw, Richard Myers, Steven Platt, Kirstin Edwards, Jonathan Hubb, Joanna Ellis, Maria Zambon
EPI_ISL_417227	hCoV-19/England/20104007503/2020	Europe / United Kingdom / England	3/3/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano, Shahjahan Miah, Angie Lackenby, Omolola Akinbami, Tiina Talts, Leena Bhaw, Richard Myers, Steven Platt, Kirstin Edwards, Jonathan Hubb, Joanna Ellis, Maria Zambon
EPI_ISL_418548	hCoV-19/Ireland/21145/2020	Europe / Ireland / Dublin	3/6/20	UCD National Virus Reference Laboratory 	UCD National Virus Reference Laboratory 	Michael Carr, Gabriel Gonzalez, Jonathan Dean, Suzie Coughlan, Alison Murphy, Kevin Byrne, Ken Wolfe, Jeff Connell, Brendan Loftus, Cillian F De Gascun 
EPI_ISL_407893	hCoV-19/Australia/NSW01/2020	Oceania / Australia / New South Wales / Sydney	1/24/20	Centre for Infectious Diseases and Microbiology Laboratory Services	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Eden J-S, Carter I, Rahman H, Holmes EC, Rockett R, O’Sullivan MV, Sintchenko V, Chen SC, Maddocks S, Kok J and Dwyer DE for the 2019-nCoV Study Group
EPI_ISL_407894	hCoV-19/Australia/QLD01/2020	Oceania / Australia / Queensland / Gold Coast	1/28/20	Pathology Queensland	Public Health Virology Laboratory	Ben Huang, Alyssa Pyke, Amanda De Jong, Andrew Van Den Hurk, Carmel Taylor, David Warrilow, Doris Genge, Elisabeth Gamez, Glen Hewitson, Ian Maxwell Mackay, Inga Sultana, Jamie McMahon, Jean Barcelon, Judy Northill, Mitchell Finger, Natalie Simpson, Neelima Nair, Peter Burtonclay, Peter Moore, Sarah Wheatley, Sean Moody, Sonja Hall-Mendelin, Timothy Gardam, and Frederick Moore.
EPI_ISL_407896	hCoV-19/Australia/QLD02/2020	Oceania / Australia / Queensland / Gold Coast	1/30/20	Pathology Queensland	Public Health Virology Laboratory	Ben Huang, Alyssa Pyke, Amanda De Jong, Andrew Van Den Hurk, Carmel Taylor, David Warrilow, Doris Genge, Elisabeth Gamez, Glen Hewitson, Ian Maxwell Mackay, Inga Sultana, Jamie McMahon, Jean Barcelon, Judy Northill, Mitchell Finger, Natalie Simpson, Neelima Nair, Peter Burtonclay, Peter Moore, Sarah Wheatley, Sean Moody, Sonja Hall-Mendelin, Timothy Gardam, and Frederick Moore.
EPI_ISL_417240	hCoV-19/England/20106004803/2020	Europe / United Kingdom / England	3/3/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano, Shahjahan Miah, Angie Lackenby, Omolola Akinbami, Tiina Talts, Leena Bhaw, Richard Myers, Steven Platt, Kirstin Edwards, Jonathan Hubb, Joanna Ellis, Maria Zambon
EPI_ISL_417244	hCoV-19/England/20106005403/2020	Europe / United Kingdom / England	3/3/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano, Shahjahan Miah, Angie Lackenby, Omolola Akinbami, Tiina Talts, Leena Bhaw, Richard Myers, Steven Platt, Kirstin Edwards, Jonathan Hubb, Joanna Ellis, Maria Zambon
EPI_ISL_417248	hCoV-19/England/20108003302/2020	Europe / United Kingdom / England	3/3/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano, Shahjahan Miah, Angie Lackenby, Omolola Akinbami, Tiina Talts, Leena Bhaw, Richard Myers, Steven Platt, Kirstin Edwards, Jonathan Hubb, Joanna Ellis, Maria Zambon
EPI_ISL_417246	hCoV-19/England/20106145903/2020	Europe / United Kingdom / England	3/3/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano, Shahjahan Miah, Angie Lackenby, Omolola Akinbami, Tiina Talts, Leena Bhaw, Richard Myers, Steven Platt, Kirstin Edwards, Jonathan Hubb, Joanna Ellis, Maria Zambon
EPI_ISL_406595	hCoV-19/Shenzhen/SZTH-004/2020	Asia / China / Guandong / Shenzhen	1/16/20	Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital	Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital	Yang Yang, Chenguang Shen, Li Xing, Zhixiang Xu, Haixia Zheng, Yingxia Liu
EPI_ISL_406596	hCoV-19/France/IDF0372/2020	Europe / France / Ile-de-France / Paris	1/23/20	Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélanie Albert, Marion Barbet, Sylvie Behillil, Méline Bizard, Angela Brisebarre, Flora Donati, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf, Yazdan Yazdanpanah, Xavier Lescure.
EPI_ISL_406597	hCoV-19/France/IDF0373/2020	Europe / France / Ile-de-France / Paris	1/23/20	Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélanie Albert, Marion Barbet, Sylvie Behillil, Méline Bizard, Angela Brisebarre, Flora Donati, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf, Yazdan Yazdanpanah, Xavier Lescure.
EPI_ISL_406593	hCoV-19/Shenzhen/SZTH-002/2020	Asia / China / Guandong / Shenzhen	1/13/20	Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital	Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital	Yang Yang, Chenguang Shen, Li Xing, Zhixiang Xu, Haixia Zheng, Yingxia Liu
EPI_ISL_420889	hCoV-19/Japan/Hu_DP_Kng_19-031/2020	Asia / Japan	2/14/20	unknown	Takayuki Hishiki Kanagawa Prefectural Institute of Public Health	Hishiki,T., Suzuki,R., Sakuragi,J., Usui,K., Tanaka,Y., Kawai,J., Kogo,Y., Matsuki,Y., An,T., Hayashizaki,Y. and Takasaki,T.
EPI_ISL_417233	hCoV-19/England/20104009002/2020	Europe / United Kingdom / England	3/2/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano, Shahjahan Miah, Angie Lackenby, Omolola Akinbami, Tiina Talts, Leena Bhaw, Richard Myers, Steven Platt, Kirstin Edwards, Jonathan Hubb, Joanna Ellis, Maria Zambon
EPI_ISL_417234	hCoV-19/England/20104009102/2020	Europe / United Kingdom / England	3/2/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano, Shahjahan Miah, Angie Lackenby, Omolola Akinbami, Tiina Talts, Leena Bhaw, Richard Myers, Steven Platt, Kirstin Edwards, Jonathan Hubb, Joanna Ellis, Maria Zambon
EPI_ISL_417231	hCoV-19/England/20104008802/2020	Europe / United Kingdom / England	3/3/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano, Shahjahan Miah, Angie Lackenby, Omolola Akinbami, Tiina Talts, Leena Bhaw, Richard Myers, Steven Platt, Kirstin Edwards, Jonathan Hubb, Joanna Ellis, Maria Zambon
EPI_ISL_417232	hCoV-19/England/20104008902/2020	Europe / United Kingdom / England	3/4/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano, Shahjahan Miah, Angie Lackenby, Omolola Akinbami, Tiina Talts, Leena Bhaw, Richard Myers, Steven Platt, Kirstin Edwards, Jonathan Hubb, Joanna Ellis, Maria Zambon
EPI_ISL_417235	hCoV-19/England/20104013703/2020	Europe / United Kingdom / England	3/2/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano, Shahjahan Miah, Angie Lackenby, Omolola Akinbami, Tiina Talts, Leena Bhaw, Richard Myers, Steven Platt, Kirstin Edwards, Jonathan Hubb, Joanna Ellis, Maria Zambon
EPI_ISL_424359	hCoV-19/Beijing/Wuhan_IME-BJ05/2020	Asia / China / Beijing	1/27/20	unknown	Beijing Institute of Microbiology and Epidemiology	Fan,H., Qin,E., Wu,Y., Guo,Y., Zhang,X., Yong,Y., Hou,J., Xu,Z., Mu,J., Teng,Y., Mi,Z., Yang,R., Song,Y., Li,B. and Cui,Y.
EPI_ISL_424358	hCoV-19/Beijing/Wuhan_IME-BJ04/2020	Asia / China / Beijing	1/28/20	unknown	Beijing Institute of Microbiology and Epidemiology	Fan,H., Qin,E., Wu,Y., Guo,Y., Zhang,X., Yong,Y., Hou,J., Xu,Z., Mu,J., Teng,Y., Mi,Z., Yang,R., Song,Y., Li,B. and Cui,Y.
EPI_ISL_424357	hCoV-19/Beijing/Wuhan_IME-BJ03/2020	Asia / China / Beijing	1/28/20	unknown	Beijing Institute of Microbiology and Epidemiology	Fan,H., Qin,E., Wu,Y., Guo,Y., Zhang,X., Yong,Y., Hou,J., Xu,Z., Mu,J., Teng,Y., Mi,Z., Yang,R., Song,Y., Li,B. and Cui,Y.
EPI_ISL_424356	hCoV-19/Beijing/Wuhan_IME-BJ02/2020	Asia / China / Beijing	1/25/20	unknown	Beijing Institute of Microbiology and Epidemiology	Fan,H., Qin,E., Wu,Y., Guo,Y., Zhang,X., Yong,Y., Hou,J., Xu,Z., Mu,J., Teng,Y., Mi,Z., Yang,R., Song,Y., Li,B. and Cui,Y.
EPI_ISL_424355	hCoV-19/Beijing/Wuhan_IME-BJ01/2020	Asia / China / Beijing	1/24/20	unknown	Beijing Institute of Microbiology and Epidemiology	Fan,H., Qin,E., Wu,Y., Guo,Y., Zhang,X., Yong,Y., Hou,J., Xu,Z., Mu,J., Teng,Y., Mi,Z., Yang,R., Song,Y., Li,B. and Cui,Y.
EPI_ISL_424344	hCoV-19/Italy/INMI10/2020	Europe / Italy / Rome	3/4/20	INMI Lazzaro Spallanzani IRCCS	Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS	Eleonora Lalle, Barbara Bartolini, Martina Rueca, Cesare Ernesto Maria Gruber, Francesco Messina, Fabrizio Carletti, Licia Bordi, Giulia Matusali, Francesca Colavita, Maria Rosaria Capobianchi, Concetta Castilletti, Francesco Vairo, Giuseppe Ippolito, Antonino Di Caro
EPI_ISL_424342	hCoV-19/Italy/INMI8/2020	Europe / Italy / Rome	3/7/20	INMI Lazzaro Spallanzani IRCCS	Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS	Concetta Castilletti, Barbara Bartolini, Martina Rueca, Cesare Ernesto Maria Gruber, Francesco Messina, Fabrizio Carletti, Eleonora Lalle, Licia Bordi, Giulia Matusali, Francesca Colavita, Maria Rosaria Capobianchi, Francesco Vairo, Giuseppe Ippolito, Antonino Di Caro
EPI_ISL_411066	hCoV-19/Fujian/13/2020	Asia / China / Fujian	1/22/20	Fujian Center for Disease Control and Prevention	Fujian Center for Disease Control and Prevention	Chen Wei, Zhang Yanhua, He Wenxiang, Weng Yuwei
EPI_ISL_411060	hCoV-19/Fujian/8/2020	Asia / China / Fujian	1/21/20	Fujian Center for Disease Control and Prevention	Fujian Center for Disease Control and Prevention	Chen Wei, Zhang Yanhua, He Wenxiang, Weng Yuwei
EPI_ISL_424360	hCoV-19/Beijing/Wuhan_IME-BJ07/2020	Asia / China / Beijing	1/29/20	unknown	Beijing Institute of Microbiology and Epidemiology	Fan,H., Qin,E., Wu,Y., Guo,Y., Zhang,X., Yong,Y., Hou,J., Xu,Z., Mu,J., Teng,Y., Mi,Z., Yang,R., Song,Y., Li,B. and Cui,Y.
EPI_ISL_420801	hCoV-19/Korea/BA-ACH_2719/2020	Asia / Korea	2/29/20	Brian D. Allgood Army Community Hospital	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen, Yan Li, Ying Tao, Jing Zhang, Anne Uehara, Clinton R. Paden, Haibin Wang, Rachel Marine, Mary S. Keckler, Alison S. Laufer Halpin, Jasmine Padilla, Justin Lee, Christopher A. Elkins, Suxiang Tong
EPI_ISL_420800	hCoV-19/Korea/BA-ACH_2718/2020	Asia / Korea	2/29/20	Brian D. Allgood Army Community Hospital	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen, Yan Li, Ying Tao, Jing Zhang, Anne Uehara, Clinton R. Paden, Haibin Wang, Rachel Marine, Mary S. Keckler, Alison S. Laufer Halpin, Jasmine Padilla, Justin Lee, Christopher A. Elkins, Suxiang Tong
EPI_ISL_413620	hCoV-19/USA/CruiseA-15/2020	North America / USA	2/18/20	unknown	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention	Clinton R. Paden, Ying Tao, Krista Queen, Anna Uehara, Jing Zhang, Yan Li, Haibin Wang, Shifaq Kamili, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Lijuan Wang, Janna' R. Murray, Jasmine Padilla, Justin Lee, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong
EPI_ISL_413621	hCoV-19/USA/CruiseA-16/2020	North America / USA	2/18/20	unknown	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention	Clinton R. Paden, Ying Tao, Krista Queen, Anna Uehara, Jing Zhang, Yan Li, Haibin Wang, Shifaq Kamili, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Lijuan Wang, Janna' R. Murray, Jasmine Padilla, Justin Lee, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong
EPI_ISL_413622	hCoV-19/USA/CruiseA-17/2020	North America / USA	2/24/20	unknown	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention	Clinton R. Paden, Ying Tao, Krista Queen, Anna Uehara, Jing Zhang, Yan Li, Haibin Wang, Shifaq Kamili, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Lijuan Wang, Janna' R. Murray, Jasmine Padilla, Justin Lee, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong
EPI_ISL_413613	hCoV-19/USA/CruiseA-8/2020	North America / USA	2/17/20	unknown	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention	Ying Tao, Clinton R. Paden, Krista Queen, Anna Uehara, Jing Zhang, Yan Li, Haibin Wang, Shifaq Kamili, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Lijuan Wang, Janna' R. Murray, Jasmine Padilla, Justin Lee, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong
EPI_ISL_413614	hCoV-19/USA/CruiseA-9/2020	North America / USA	2/17/20	unknown	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention	Ying Tao, Clinton R. Paden, Krista Queen, Anna Uehara, Jing Zhang, Yan Li, Haibin Wang, Shifaq Kamili, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Lijuan Wang, Janna' R. Murray, Jasmine Padilla, Justin Lee, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong
EPI_ISL_413615	hCoV-19/USA/CruiseA-10/2020	North America / USA	2/17/20	unknown	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention	Ying Tao, Clinton R. Paden, Krista Queen, Anna Uehara, Jing Zhang, Yan Li, Haibin Wang, Shifaq Kamili, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Lijuan Wang, Janna' R. Murray, Jasmine Padilla, Justin Lee, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong
EPI_ISL_413616	hCoV-19/USA/CruiseA-11/2020	North America / USA	2/17/20	unknown	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention	Ying Tao, Clinton R. Paden, Krista Queen, Anna Uehara, Jing Zhang, Yan Li, Haibin Wang, Shifaq Kamili, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Lijuan Wang, Janna' R. Murray, Jasmine Padilla, Justin Lee, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong
EPI_ISL_413617	hCoV-19/USA/CruiseA-12/2020	North America / USA	2/20/20	unknown	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention	Ying Tao, Clinton R. Paden, Krista Queen, Anna Uehara, Jing Zhang, Yan Li, Haibin Wang, Shifaq Kamili, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Lijuan Wang, Janna' R. Murray, Jasmine Padilla, Justin Lee, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong
EPI_ISL_413618	hCoV-19/USA/CruiseA-13/2020	North America / USA	2/20/20	unknown	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention	Clinton R. Paden, Ying Tao, Krista Queen, Anna Uehara, Jing Zhang, Yan Li, Haibin Wang, Shifaq Kamili, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Lijuan Wang, Janna' R. Murray, Jasmine Padilla, Justin Lee, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong
EPI_ISL_413619	hCoV-19/USA/CruiseA-14/2020	North America / USA	2/25/20	unknown	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention	Clinton R. Paden, Ying Tao, Krista Queen, Anna Uehara, Jing Zhang, Yan Li, Haibin Wang, Shifaq Kamili, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Lijuan Wang, Janna' R. Murray, Jasmine Padilla, Justin Lee, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong
EPI_ISL_414941	hCoV-19/Shandong/LY008/2020	Asia / China / Shandong	1/30/20	Shandong Provincial Center for Disease Control and Prevention	Beijing Institute of Microbiology and Epidemiology	Xiao-Lin Jiang, Xiao-Li Zhang, Xiang-Na Zhao, Cun-Bao Li, Jie Lei, Zeng-Qiang Kou, Wen-Kui Sun, Yang Hang, Feng Gao, Sheng-Xiang Ji, Can-Fang Lin, Bo Pang, Ming-Xiao Yao, Guo-Lin Wang, Lin Yao, Li-Jun Duan, Xiao Wei, Dian-Ming Kang, Mai-Juan Ma
EPI_ISL_414940	hCoV-19/Shandong/LY007/2020	Asia / China / Shandong	1/25/20	Shandong Provincial Center for Disease Control and Prevention	Beijing Institute of Microbiology and Epidemiology	Xiao-Lin Jiang, Xiao-Li Zhang, Xiang-Na Zhao, Cun-Bao Li, Jie Lei, Zeng-Qiang Kou, Wen-Kui Sun, Yang Hang, Feng Gao, Sheng-Xiang Ji, Can-Fang Lin, Bo Pang, Ming-Xiao Yao, Guo-Lin Wang, Lin Yao, Li-Jun Duan, Xiao Wei, Dian-Ming Kang, Mai-Juan Ma
EPI_ISL_413610	hCoV-19/USA/CruiseA-5/2020	North America / USA	2/21/20	unknown	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention	Anna Uehara, Ying Tao, Clinton R. Paden, Krista Queen, Jing Zhang, Yan Li, Mary S. Keckler, Alison S Laufer Halpin, Haibin Wang, Jasmine Padilla, Justin Lee, Christopher A. Elkins, Susan I. Gerber, Suxiang Tong
EPI_ISL_413611	hCoV-19/USA/CruiseA-6/2020	North America / USA	2/21/20	unknown	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention	Anna Uehara, Ying Tao, Clinton R. Paden, Krista Queen, Jing Zhang, Yan Li, Mary S. Keckler, Alison S Laufer Halpin, Haibin Wang, Jasmine Padilla, Justin Lee, Christopher A. Elkins, Susan I. Gerber, Suxiang Tong
EPI_ISL_413612	hCoV-19/USA/CruiseA-7/2020	North America / USA	2/17/20	unknown	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention	Ying Tao, Clinton R. Paden, Krista Queen, Anna Uehara, Jing Zhang, Yan Li, Haibin Wang, Shifaq Kamili, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Lijuan Wang, Janna' R. Murray, Jasmine Padilla, Justin Lee, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong
EPI_ISL_413602	hCoV-19/Finland/FIN03032020A/2020	Europe / Finland / Helsinki	3/3/20	Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland	Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland	Teemu Smura, Hannimari Kallio-Kokko, Olli Vapalahti
EPI_ISL_413603	hCoV-19/Finland/FIN03032020B/2020	Europe / Finland / Helsinki	3/3/20	Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland	Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland	Teemu Smura, Hannimari Kallio-Kokko, Olli Vapalahti
EPI_ISL_413604	hCoV-19/Finland/FIN03032020C/2020	Europe / Finland / Helsinki	3/3/20	Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland 	Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland	Teemu Smura, Hannimari Kallio-Kokko, Olli Vapalahti
EPI_ISL_413606	hCoV-19/USA/CruiseA-1/2020	North America / USA	2/17/20	unknown	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention	Anna Uehara, Ying Tao, Clinton R. Paden, Krista Queen, Jing Zhang, Yan Li, Mary S. Keckler, Alison S Laufer Halpin, Haibin Wang, Jasmine Padilla, Justin Lee, Christopher A. Elkins, Susan I. Gerber, Suxiang Tong
EPI_ISL_414938	hCoV-19/Shandong/LY005/2020	Asia / China / Shandong	1/24/20	Shandong Provincial Center for Disease Control and Prevention	Beijing Institute of Microbiology and Epidemiology	Xiao-Lin Jiang, Xiao-Li Zhang, Xiang-Na Zhao, Cun-Bao Li, Jie Lei, Zeng-Qiang Kou, Wen-Kui Sun, Yang Hang, Feng Gao, Sheng-Xiang Ji, Can-Fang Lin, Bo Pang, Ming-Xiao Yao, Guo-Lin Wang, Lin Yao, Li-Jun Duan, Xiao Wei, Dian-Ming Kang, Mai-Juan Ma
EPI_ISL_413607	hCoV-19/USA/CruiseA-2/2020	North America / USA	2/18/20	unknown	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention	Anna Uehara, Ying Tao, Clinton R. Paden, Krista Queen, Jing Zhang, Yan Li, Mary S. Keckler, Alison S Laufer Halpin, Haibin Wang, Jasmine Padilla, Justin Lee, Christopher A. Elkins, Susan I. Gerber, Suxiang Tong
EPI_ISL_413608	hCoV-19/USA/CruiseA-3/2020	North America / USA	2/18/20	unknown	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention	Anna Uehara, Ying Tao, Clinton R. Paden, Krista Queen, Jing Zhang, Yan Li, Mary S. Keckler, Alison S Laufer Halpin, Haibin Wang, Jasmine Padilla, Justin Lee, Christopher A. Elkins, Susan I. Gerber, Suxiang Tong
EPI_ISL_413609	hCoV-19/USA/CruiseA-4/2020	North America / USA	2/21/20	unknown	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention	Anna Uehara, Ying Tao, Clinton R. Paden, Krista Queen, Jing Zhang, Yan Li, Mary S. Keckler, Alison S Laufer Halpin, Haibin Wang, Jasmine Padilla, Justin Lee, Christopher A. Elkins, Susan I. Gerber, Suxiang Tong
EPI_ISL_413650	hCoV-19/USA/WA15-UW11/2020	North America / USA / Washington	3/5/20	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger
EPI_ISL_413651	hCoV-19/USA/WA16-UW12/2020	North America / USA / Washington	3/5/20	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger
EPI_ISL_413652	hCoV-19/USA/WA17-UW13/2020	North America / USA / Washington	3/5/20	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger
EPI_ISL_413653	hCoV-19/USA/WA18-UW14/2020	North America / USA / Washington	3/5/20	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger
EPI_ISL_413647	hCoV-19/Portugal/CV62/2020	Europe / Portugal	3/1/20	Centro Hospital do Porto, E.P.E. - H. Geral de Santo Antonio	Instituto Nacional de Saude (INSA)	Raquel Guiomar, Inês Costa, Pedro Pechirra, Joana Mendonça, Luís Vieira, Helena Ramos, Joana Isidro, Vítor Borges, João Paulo Gomes
EPI_ISL_413648	hCoV-19/Portugal/CV63/2020	Europe / Portugal	3/1/20	Centro Hospitalar e Universitário de Sao Joao, Porto	Instituto Nacional de Saude (INSA)	Raquel Guiomar, Inês Costa, Pedro Pechirra, Joana Mendonça, Luís Vieira, João Tiago Guimarães, Joana Isidro, Vítor Borges, João Paulo Gomes 
